,,,,,,,,
Sl. no.,Date,Adaptation Clinic Name,Village,Union,Problems Found (if any),Advice/ solution given,Point of Service,"Remarks 
(Next Follow up) "
1,19-10-2023,Nilganj Adaptation Clinic,Fatehpur,Nilgonj,Water crisis in rabi season for vegetables cultivation.,Use of mulching method in vegetable beds during rabi season.,Mobile Adaptation Clinic,30-10-2023
2,19-10-2023,Nilganj Adaptation Clinic,Fatehpur,Nilganj,Leaf curling of Chilli plant,Initially neem leaf extract and detergent powder mixed with water and sprayed on plants.,Mobile Adaptation Clinic,30-10-2024
3,19-10-2023,Nilganj Adaptation Clinic,Fatehpur,Nilganj,Insects in rice Mobile Adaptation Clinics,"Primarily in paddy Mobile Adaptation Clinic using Perching method, light trap and hand picking with net to control insects and retain sufficient water in the Mobile Adaptation Clinic.",Mobile Adaptation Clinic,30-10-2025
4,25-10-2023,Nilganj Adaptation Clinic,Dokkhin Doulotpur,"Nilganj
",Rice Stem Borer,"Virtaco 40 WG should be applied at 10 gm per bigha for control of Rice Stem Borer.
",Adaptation Clinic,06-11-2023
5,25-10-2023,Nilganj Adaptation Clinic,Purbo Mostafapur,Nilganj,Damping off Bottle Gourd,Mix 2 grams of Bavistin or Autostin 50WDG fungicide per liter of water and spray well on the soil at the bottom of the affected plant.,Adaptation Clinic,06-11-2023
6,30-10-2023,Nilganj Adaptation Clinic,East Amirabad,Nilganj,-,"As an advance measure to control pepper leaf curling problem, organic herbicides such as neem leaf extract, mahogany tree fruit extract, tobacco leaf extract and detergent powder mixed with water at seedling stage and after transplanting are sprayed well on the whole plant, besides providing various advice regarding crop cultivation in rabi season.",Mobile Adaptation Clinic,10-11-2023
7,30-10-2023,Nilganj Adaptation Clinic,Khalilpur,Nilganj,Leaf curl of chili,"1) Diseased trees and surrounding host trees should be removed and destroyed.
2) For control of vector insects, 20 ml Vertimec insecticide per 10 liters of water should be sprayed above and below the entire plant.
",Mobile Adaptation Clinic,10-11-2023
8,01-11-2023,Nilganj Adaptation Clinic,Goiatola,Nilganj,Damping off Tomato,Mix 2 grams of Bavistin fungicide per liter of water or 4 grams of Cupravit fungicide per liter of water and spray well on the soil at the bottom of the affected plant.,Adaptation Clinic,10-11-2023
9,01-11-2023,Nilganj Adaptation Clinic,Goiatola,Nilganj,Blossom end rot of Pumpkin,"1) Apply 50 to 80 grams of gypsum fertilizer per pit and moderate irrigation should be given. 2) Applying 4 kg of dolochun per cent of land in case of red soil. And if Dolochun is applied once, it does not have to be applied for 3 consecutive years.",Adaptation Clinic,15-11-2023
10,05-11-2023,Nilganj Adaptation Clinic,Purbo Mostafapur,Nilganj,Leaf curl of chili,"1) Diseased trees and surrounding host trees should be removed and destroyed.
2) For control of vector insects, 20 ml Vertimec insecticide per 10 liters of water should be sprayed above and below the entire plant.",Adaptation Clinic,15-11-2023
