123456789
,,,,,,,,
Sl. no.,Date,Adaptation Clinic Name,Village,Union,Problems Found (if any),Advice/ solution given,Point of Service,"Remarks 
(Next Follow up) "
1,18.08.24,Rampal,Uzalkur,Uzalkur,Flowers & Fruits on brinjal are falling off.,Use Solubor Boron @ 30gm/machine in 7-10 days interval for 2/3 times,Adaptation Clinic,25.08.24 Solubor Boron has started spraying
2,02.09.24,Rampal,Uzalkur,Uzalkur,Flowers & Fruits on brinjal are falling off.,Use Solubor Boron @ 30gm/machine in 7-10 days interval for 2/3 times,Mobile Clinic,09.09.24- Preparations have been done for climate-adaptive vegetables cultivation in the Rabi season.
3,02.09.24,Rampal,Uzalkur,Uzalkur,Wanted to know about year round vegetables production technology,Detailed information and production technology for climate-resillient year-round vegetable are discussed.,Mobile Clinic,09.09.24- Preparations have been done for climate-adaptive vegetables cultivation in the Rabi season.
4,02.09.24,Rampal,Uzalkur,Uzalkur,Wanted to know about year round vegetables production technology,Detailed information and production technology for climate-resillient year-round vegetable are discussed.,Mobile Clinic,09.09.24- Preparations have been done for climate-adaptive vegetables cultivation in the Rabi season.
5,02.09.24,Rampal,Uzalkur,Uzalkur,Wanted to know about year round vegetables production technology,Detailed information and production technology for climate-resillient year-round vegetable are discussed.,Mobile Clinic,09.09.24- Preparations have been done for climate-adaptive vegetables cultivation in the Rabi season.
6,02.09.24,Rampal,Uzalkur,Uzalkur,Wanted to know about year round vegetables production technology,Detailed information and production technology for climate-resillient year-round vegetable are discussed.,Mobile Clinic,09.09.24- Preparations have been done for climate-adaptive vegetables cultivation in the Rabi season.
7,02.09.24,Rampal,Uzalkur,Uzalkur,Wanted to know about year round vegetables production technology,Detailed information and production technology for climate-resillient year-round vegetable are discussed.,Mobile Clinic,09.09.24- Preparations have been done for climate-adaptive vegetables cultivation in the Rabi season.
8,02.09.24,Rampal,Uzalkur,Uzalkur,Wanted to know about year round vegetables production technology,Detailed information and production technology for climate-resillient year-round vegetable are discussed.,Mobile Clinic,09.09.24- Preparations have been done for climate-adaptive vegetables cultivation in the Rabi season.
9,04.09.24,Rampal,Gobindapur,Uzalkur,Downi Mildew Of Bitter Gourd,Carbendazim+ Mancozeb/ Mancozeb+ Metalexile 72% @2gm/L( 1+7+14 days interval),Mobile Clinic,"09.09.24- Used pesticides, 50% of the problem is solved"
10,04.09.24,Rampal,Gobindapur,Uzalkur,Downi Mildew Of Bitter Gourd,Carbendazim+ Mancozeb/ Mancozeb+ Metalexile 72% @2gm/L( 1+7+14 days interval),Mobile Clinic,"09.09.24- Used pesticides, 50% of the problem is solved"
